================================================================================
AxisForge — Fatigue Stress Analysis — Shaft
================================================================================
Project  : demo_C14_H501
Element  : C14_shaft
Script   : full_pipeline.py
Date     : 2026-05-29 14:47:40
Solver   : StressSolver v1.0
Standard : Shigley 10th ed. §7-4
================================================================================

  Material      : 42CrMo4
  Surface finish: machined
  Reliability   : 99 %
  Sut           : 1000.0 MPa
  Sy            : 800.0 MPa

--------------------------------------------------------------------------------
    x [mm]    d [mm]      Kf     Kfs   σ_a [MPa]   σ_m [MPa]    nf_GM   nf_ASME       ny   Safe
    172.17     20.00   1.000   1.000     459.827       0.000    0.576     0.576    1.740      ✗
    243.44     20.00   1.000   1.000     401.053     220.532    0.576     0.650    1.287      ✗
    171.77     20.00   1.000   1.000     458.320       0.000    0.578     0.578    1.746      ✗
    243.84     20.00   1.000   1.000     399.546     220.532    0.578     0.652    1.290      ✗
    313.11     15.00   1.000   1.000     329.086     522.741    0.579     0.730    0.939      ✗
    171.37     20.00   1.000   1.000     456.813       0.000    0.580     0.580    1.751      ✗
    244.24     20.00   1.000   1.000     398.039     220.532    0.580     0.654    1.293      ✗
    170.97     20.00   1.000   1.000     455.306       0.000    0.582     0.582    1.757      ✗
    244.64     20.00   1.000   1.000     396.532     220.532    0.582     0.657    1.296      ✗
    313.51     15.00   1.000   1.000     325.514     522.741    0.583     0.736    0.943      ✗
    170.57     20.00   1.000   1.000     453.799       0.000    0.584     0.584    1.763      ✗
    245.05     20.00   1.000   1.000     395.025     220.532    0.584     0.659    1.300      ✗
    170.17     20.00   1.000   1.000     452.292       0.000    0.586     0.586    1.769      ✗
    245.45     20.00   1.000   1.000     393.518     220.532    0.586     0.662    1.303      ✗
    169.77     20.00   1.000   1.000     450.785       0.000    0.588     0.588    1.775      ✗
    313.91     15.00   1.000   1.000     321.942     522.741    0.588     0.742    0.947      ✗
    245.85     20.00   1.000   1.000     392.011     220.532    0.588     0.664    1.306      ✗
    169.37     20.00   1.000   1.000     449.278       0.000    0.589     0.589    1.781      ✗
    246.25     20.00   1.000   1.000     390.504     220.532    0.590     0.667    1.309      ✗
    168.97     20.00   1.000   1.000     447.771       0.000    0.591     0.591    1.787      ✗
    246.65     20.00   1.000   1.000     388.997     220.532    0.592     0.669    1.312      ✗
