================================================================================
AxisForge — Fatigue Stress Analysis — Shaft
================================================================================
Project  : demo_reducer_2stages
Element  : shaft_1
Script   : shaft_1.py
Date     : 2026-05-29 14:59:12
Solver   : StressSolver v1.0
Standard : Shigley 10th ed. §7-4
================================================================================

  Material      : 42CrMo4
  Surface finish: machined
  Reliability   : 99 %
  Sut           : 1000.0 MPa
  Sy            : 800.0 MPa

--------------------------------------------------------------------------------
    x [mm]    d [mm]      Kf     Kfs   σ_a [MPa]   σ_m [MPa]    nf_GM   nf_ASME       ny   Safe
    195.80     50.00   1.000   1.000      36.892      14.114    5.961     6.466   15.685      ✓
    302.30     40.00   1.000   1.000      34.473      27.566    5.961     6.927   12.895      ✓
    133.73     50.00   1.000   1.000      40.267       0.000    5.963     5.963   19.867      ✓
     70.07     40.00   1.000   1.000      41.207       0.000    5.968     5.968   19.414      ✓
    196.20     50.00   1.000   1.000      36.819      14.114    5.972     6.478   15.707      ✓
    133.33     50.00   1.000   1.000      40.147       0.000    5.981     5.981   19.927      ✓
    302.70     40.00   1.000   1.000      34.332      27.566    5.982     6.954   12.924      ✓
    196.60     50.00   1.000   1.000      36.747      14.114    5.982     6.491   15.729      ✓
    197.00     50.00   1.000   1.000      36.675      14.114    5.993     6.504   15.752      ✓
    132.93     50.00   1.000   1.000      40.026       0.000    5.999     5.999   19.987      ✓
     69.67     40.00   1.000   1.000      40.972       0.000    6.002     6.002   19.526      ✓
    303.10     40.00   1.000   1.000      34.190      27.566    6.002     6.981   12.954      ✓
    197.40     50.00   1.000   1.000      36.602      14.114    6.004     6.516   15.774      ✓
    197.80     50.00   1.000   1.000      36.530      14.114    6.015     6.529   15.797      ✓
    132.53     50.00   1.000   1.000      39.906       0.000    6.017     6.017   20.047      ✓
    303.50     40.00   1.000   1.000      34.049      27.566    6.023     7.008   12.984      ✓
    198.20     50.00   1.000   1.000      36.458      14.114    6.026     6.542   15.819      ✓
    132.13     50.00   1.000   1.000      39.785       0.000    6.035     6.035   20.108      ✓
     69.27     40.00   1.000   1.000      40.736       0.000    6.037     6.037   19.638      ✓
    198.60     50.00   1.000   1.000      36.385      14.114    6.037     6.555   15.842      ✓
    303.90     40.00   1.000   1.000      33.908      27.566    6.044     7.036   13.014      ✓
    199.00     50.00   1.000   1.000      36.313      14.114    6.048     6.568   15.865      ✓
    131.73     50.00   1.000   1.000      39.665       0.000    6.053     6.053   20.169      ✓
    199.40     50.00   1.000   1.000      36.241      14.114    6.059     6.581   15.887      ✓
    304.30     40.00   1.000   1.000      33.766      27.566    6.065     7.064   13.044      ✓
    199.80     50.00   1.000   1.000      36.168      14.114    6.070     6.594   15.910      ✓
     68.87     40.00   1.000   1.000      40.501       0.000    6.072     6.072   19.753      ✓
    131.33     50.00   1.000   1.000      39.544       0.000    6.072     6.072   20.231      ✓
    200.20     50.00   1.000   1.000      36.096      14.114    6.081     6.607   15.933      ✓
    304.70     40.00   1.000   1.000      33.625      27.566    6.086     7.092   13.074      ✓
    130.93     50.00   1.000   1.000      39.423       0.000    6.090     6.090   20.293      ✓
    200.60     50.00   1.000   1.000      36.024      14.114    6.092     6.620   15.956      ✓
    201.00     50.00   1.000   1.000      35.951      14.114    6.103     6.633   15.979      ✓
     68.47     40.00   1.000   1.000      40.265       0.000    6.107     6.107   19.868      ✓
    305.11     40.00   1.000   1.000      33.484      27.566    6.108     7.120   13.104      ✓
    130.53     50.00   1.000   1.000      39.303       0.000    6.109     6.109   20.355      ✓
    201.40     50.00   1.000   1.000      35.879      14.114    6.115     6.646   16.002      ✓
    201.80     50.00   1.000   1.000      35.807      14.114    6.126     6.659   16.025      ✓
    130.13     50.00   1.000   1.000      39.182       0.000    6.128     6.128   20.417      ✓
    305.51     40.00   1.000   1.000      33.343      27.566    6.129     7.148   13.134      ✓
    202.20     50.00   1.000   1.000      35.734      14.114    6.137     6.672   16.049      ✓
     68.07     40.00   1.000   1.000      40.030       0.000    6.143     6.143   19.985      ✓
    129.73     50.00   1.000   1.000      39.062       0.000    6.147     6.147   20.480      ✓
    202.60     50.00   1.000   1.000      35.662      14.114    6.149     6.686   16.072      ✓
    305.91     40.00   1.000   1.000      33.201      27.566    6.151     7.177   13.165      ✓
    203.00     50.00   1.000   1.000      35.590      14.114    6.160     6.699   16.095      ✓
    129.33     50.00   1.000   1.000      38.941       0.000    6.166     6.166   20.544      ✓
    203.40     50.00   1.000   1.000      35.517      14.114    6.171     6.713   16.119      ✓
    306.31     40.00   1.000   1.000      33.060      27.566    6.173     7.205   13.196      ✓
     67.67     40.00   1.000   1.000      39.794       0.000    6.179     6.179   20.103      ✓
    203.80     50.00   1.000   1.000      35.445      14.114    6.183     6.726   16.142      ✓
    128.93     50.00   1.000   1.000      38.821       0.000    6.185     6.185   20.608      ✓
    204.20     50.00   1.000   1.000      35.373      14.114    6.194     6.740   16.166      ✓
    306.71     40.00   1.000   1.000      32.919      27.566    6.195     7.234   13.226      ✓
    128.53     50.00   1.000   1.000      38.700       0.000    6.204     6.204   20.672      ✓
    204.60     50.00   1.000   1.000      35.300      14.114    6.206     6.753   16.190      ✓
     67.27     40.00   1.000   1.000      39.559       0.000    6.216     6.216   20.223      ✓
    307.11     40.00   1.000   1.000      32.777      27.566    6.217     7.264   13.257      ✓
    205.01     50.00   1.000   1.000      35.228      14.114    6.218     6.767   16.213      ✓
    128.13     50.00   1.000   1.000      38.579       0.000    6.224     6.224   20.736      ✓
    205.41     50.00   1.000   1.000      35.156      14.114    6.229     6.781   16.237      ✓
    307.51     40.00   1.000   1.000      32.636      27.566    6.239     7.293   13.288      ✓
    205.81     50.00   1.000   1.000      35.083      14.114    6.241     6.795   16.261      ✓
